player,mu,sigma,wins,losses,sets
fireblaster,38.1682902215,0.939071923813,138,53,191
star king,38.1116826845,1.26399348832,50,20,70
nacl,38.0518515457,1.35202902288,43,18,61
handsometom,37.7394136752,2.02998447138,14,8,22
kimimaru,37.6361529336,1.55908070373,29,14,43
clubbadubba,37.6289968351,1.57102447963,30,12,42
combo blaze,37.5593640305,1.45758815222,37,16,53
manjaro,37.5545098591,3.1458414734,8,3,11
sheermadness,37.4573848299,1.88698523726,18,8,26
barksanchez,37.3206669355,3.61054700609,4,2,6
bonobono,36.9965762617,3.29635424318,5,2,7
janitor,36.7562535601,1.30451423483,51,21,72
janco,36.7080779205,1.73617750104,21,12,33
nta,36.6484519376,1.72734676255,23,10,33
kyle tree,36.5218539224,1.91028076577,18,10,28
marbles,36.4470942387,1.1361530774,60,26,86
shears,36.3532845703,0.944242528311,140,62,202
ybombb,36.2272557373,2.22463913331,12,8,20
loto,36.187078507,1.19707452803,46,23,69
stevie g,36.1490673455,1.37034289227,40,14,54
darkhorse,36.1465239363,0.947296169106,101,52,153
skg,36.0871628026,1.27555930328,36,18,54
finio,36.0512718067,1.24313272979,44,21,65
nintendude,35.8123618888,1.19789116888,53,29,82
yunque,35.8008450621,1.46694939048,31,15,46
horbie,35.5069315925,1.1659636749,61,29,90
roman,35.45936235,1.51230154408,34,16,50
greginator,35.4397280073,2.78222913209,7,4,11
lorenzo,35.3271183873,1.6583464125,24,11,35
hydra,35.3169370284,1.70472126243,23,11,34
nothing,35.0178450691,2.24135050833,14,6,20
fumbles,35.0143772804,2.14878214998,14,6,20
sotoh,34.8944193667,1.46101401042,33,19,52
blondekid,34.887142529,1.72443289593,22,11,33
purple circle,34.7977143592,2.83709331698,12,4,16
jason,34.796847604,1.63772369502,26,12,38
jose,34.6998032055,2.58474290122,8,4,12
amida,34.6764205455,2.26888997825,12,7,19
vinsanity,34.5764027244,1.87137146065,16,8,24
hotline,34.5417375569,1.66398013869,21,11,32
fray,34.4612917025,3.36124063153,3,3,6
letsgo,34.4116268855,1.82872773014,19,12,31
$$$ jim $$$,34.3934646682,1.43549477498,32,16,48
daniel,34.3537374454,1.62842558474,21,14,35
jam,34.328963468,2.58609793143,8,5,13
dark gentleman,34.2931497634,1.16920946864,50,26,76
supa,34.2788369991,1.60166852308,22,13,35
antwon420,34.0899419121,1.85218592062,16,9,25
sax,34.0823448889,2.41080137426,10,5,15
gravyfingers,34.0728829154,2.04713470535,17,8,25
yobo,34.0576949285,1.12714460962,54,32,86
freean,33.8867011664,1.32222259633,37,21,58
connor,33.8863928495,1.93220147995,20,10,30
the ki of chaos,33.8799312428,5.88936153694,1,0,1
eg,33.8634704438,1.47535500343,28,16,44
james3927,33.6200282613,2.52592228064,11,4,15
madrush,33.5852871063,1.02956985901,66,46,112
masterhandjob,33.5476082523,1.1119502198,54,30,84
wookiee,33.5141406024,1.33227892102,37,22,59
hipstur,33.5138106818,1.22295131673,51,25,76
b link,33.4210302855,3.4233122782,4,3,7
time machine,33.4122095958,1.85147504323,19,10,29
fruity,33.3635945136,3.52784885295,5,2,7
pugs,33.3410763998,1.26120790035,35,24,59
butt solo,33.3123151592,3.84667530793,3,3,6
schickler,33.308578493,2.59022237912,9,4,13
satan [turner],33.3043093714,3.29711714346,4,3,7
fishaman p,33.2740791831,2.40097978322,9,6,15
sextc,33.246150799,1.62329321882,21,16,37
raychu,33.2434810808,1.24332626914,47,22,69
dajjal,33.2426376083,1.71507081114,22,13,35
facechew,33.1235160338,3.94508944253,5,2,7
timemachine,33.0160699354,1.57441197546,25,16,41
sedda,33.0047671976,1.35576640212,36,20,56
near,33.0036686241,2.16030434311,12,8,20
zeppelin,32.9315705413,3.10089909277,5,3,8
smash jesus,32.8809480736,2.29370933631,14,6,20
monte,32.87297052,1.9220423217,15,6,21
bo,32.8691260641,2.00108017977,14,9,23
indefa,32.8544720606,1.93564711274,19,9,28
sunnyb,32.7879977522,3.56449745895,4,3,7
the protagonist,32.7460247355,1.16486367899,50,32,82
andykins,32.6824133926,1.53824878655,25,13,38
mojomonkey,32.668718417,2.20152062936,12,7,19
dr. grin,32.647496333,1.88948332846,17,12,29
mr.sir,32.6336061013,1.1164637074,55,35,90
cyoonit,32.5903422027,1.87074535026,14,10,24
preston,32.5827774305,1.33922960457,38,22,60
nickelbackstreetboy,32.552020885,3.54628299533,4,2,6
dogs_johnson,32.5467941005,1.24391787775,42,25,67
shihman,32.5415073388,1.30608764899,42,25,67
j.moosh,32.5025598436,2.80562800969,9,4,13
the big d,32.407643044,4.09802043876,4,2,6
poobearninja,32.4037778794,2.84303906931,9,4,13
stonefallow,32.392499565,3.49415537303,6,4,10
jay_mute$,32.3324217084,1.68486953222,20,12,32
th3kuzinator,32.2195835115,3.33454023191,6,4,10
dishier wand,32.1706993681,1.38569230504,31,23,54
subtle,32.1019386321,2.33345274897,13,9,22
the dark gentleman,32.0509317121,3.552146823,4,3,7
gildo,32.0414950746,1.54982389562,27,14,41
eggmode,32.0055547294,2.10327727268,13,11,24
b0n,31.9822767556,3.9641478883,4,2,6
jay-r,31.9701365795,1.52848810887,26,15,41
weedwack,31.9546126968,1.56940035303,21,17,38
knitephox,31.9450771041,2.41855201508,10,7,17
dogg,31.9213758108,2.58725412792,8,6,14
snorlax,31.9182074651,1.95240588733,15,10,25
ken,31.8110244458,5.40169263758,2,1,3
elel,31.7975663538,1.54200283707,28,18,46
spongy,31.7644216717,1.25627166219,39,22,61
bp,31.6493478131,2.20208118419,11,7,18
spark,31.6297182442,2.75594821915,7,4,11
battlecow,31.5939869488,3.4016171486,4,3,7
qapples,31.5922662815,1.32848062633,32,26,58
socrates,31.5914453044,2.51312156314,7,6,13
bard,31.5738710282,1.27437578416,35,28,63
tank,31.5671868427,2.47723416978,10,7,17
d35,31.5461122005,1.50196373939,26,18,44
nattybroh,31.5369189623,2.65377269796,9,4,13
kirbstomper,31.5188344006,3.86445858352,4,3,7
moosh_da_moosh,31.4932053722,2.0912875912,14,8,22
commander,31.219157037,4.42278572814,3,2,5
dr. lampy,31.2168873146,1.62099199426,18,12,30
a to the z,31.2052346468,2.11350234695,11,10,21
josephzander,31.1977877538,3.43202608064,5,3,8
q!,31.1857353004,1.28632978351,38,28,66
komotonoto,31.1498147496,2.27974119836,11,7,18
g0d,31.1403348642,4.50048660197,2,2,4
rossi,31.1312028168,4.20548682927,3,2,5
pete,31.0990824104,3.62685915722,4,3,7
deathcpo,31.0664956994,1.21609603432,39,30,69
tyhiggz,31.0457098765,1.18504564975,43,30,73
saltsizzle,30.9854256545,1.73386994279,17,13,30
studstill,30.9310670975,3.00777583832,7,4,11
ivor,30.8866197892,4.09947611008,3,2,5
señorhen10r,30.8806362237,2.76259119025,7,5,12
kaz,30.8737541566,1.15514620723,51,31,82
jimmy joe,30.8583116233,1.08019358459,46,45,91
fck vwls,30.8183836789,2.26392329013,10,11,21
shanks,30.8108401106,2.93696326187,6,5,11
gunnermaniac,30.7953626406,1.97520609142,12,10,22
miniohh!,30.7335005374,1.64722539234,20,13,33
tot,30.6935093983,3.09561865676,7,6,13
inukem,30.6870299912,3.45386431702,4,2,6
paco,30.6533823007,1.32276645896,34,26,60
a$,30.6290405199,2.35956476871,10,6,16
dubs,30.5848088535,3.18209149888,7,4,11
limesoda,30.5841021641,1.65932893949,21,15,36
rusty,30.5561408096,1.22638535683,34,28,62
zeozen,30.5279783669,3.96968691535,4,3,7
jamjar,30.4662104094,1.08696158305,53,43,96
bowl,30.4260427334,1.64047773636,19,17,36
scoback,30.4233289289,2.4492886836,9,9,18
joker,30.4151469058,4.03163717998,2,3,5
skyfire,30.4061609588,1.82735926306,14,12,26
bread,30.3878024737,1.74158774214,17,15,32
natty,30.3735661457,2.78589603033,7,4,11
korobeniki,30.1583408521,1.27585089696,38,28,66
the (.)(.),30.1406137426,2.39528242586,9,7,16
american patriot,30.1314011221,2.34664640591,8,5,13
captain l,30.1240619931,1.89474129708,14,15,29
pizza jokes,30.0637174295,3.52319221168,3,3,6
captain fabulous,30.055358528,1.59797546781,23,18,41
rith,30.0135657531,3.90958200199,3,3,6
emptyw,30.0122835693,2.67407347092,8,5,13
llcstoism,29.9759611842,1.72259791694,17,15,32
yoleo,29.9592761316,1.93597100695,13,12,25
fancy,29.9518204603,4.24685236426,3,2,5
nyx,29.9441216803,3.21748151746,5,4,9
mokkori,29.9221620874,4.18659466566,3,2,5
onski,29.8844752825,1.49985187304,25,24,49
moogle,29.8328805413,4.33168728203,3,2,5
bt,29.8308131473,2.17072406605,9,8,17
b33f,29.8049180069,1.35431970172,30,21,51
v,29.7846127329,1.37508840749,29,25,54
heny935,29.7663175994,3.94718579012,4,2,6
olbus,29.6874856904,3.96253409654,4,2,6
bert,29.6713762171,4.01249424039,4,3,7
daniels,29.6602371902,1.47113487489,27,20,47
spamus,29.6555808028,1.30785260127,30,28,58
crockett,29.6464721338,2.44693878477,8,6,14
razz,29.6341947829,1.04279875145,61,46,107
lob,29.6109466827,2.58722832147,7,5,12
mr. wang,29.6048887164,4.10245695982,4,2,6
reptar,29.5565004228,1.29843283905,34,27,61
sheick,29.5503377062,3.1366967213,6,5,11
m-angry,29.5496663743,3.08295802478,6,4,10
pewpewu,29.5103515998,3.04433830289,8,5,13
quitrage,29.4884207262,3.26677177273,5,4,9
wincancel,29.4820093493,2.66452122692,8,6,14
umbra,29.4752212703,3.27260665752,6,4,10
the american patriot,29.4373245494,4.21048447834,4,2,6
piratetrips,29.4211027898,2.81001356653,7,4,11
dublat,29.39583202,7.17147558733,1,0,1
sampai,29.39583202,7.17147558733,1,0,1
blue,29.39583202,7.17147558733,1,0,1
charky,29.39583202,7.17147558733,1,0,1
sarge,29.39583202,7.17147558733,1,0,1
stingers,29.39583202,7.17147558733,1,0,1
rocket,29.3614613132,1.33901660748,28,25,53
greeno,29.357804193,1.65833849903,23,15,38
annex,29.3346910167,1.80605696921,18,14,32
jxc,29.3340550887,2.11537779267,11,8,19
newbtube,29.3318651717,2.71959325589,5,5,10
logic,29.3268430468,2.09986162906,10,8,18
thord's bro,29.3091416488,3.13382029652,5,4,9
natendo,29.2779462615,2.06421808493,12,8,20
0prah,29.2721865104,2.85005726794,6,6,12
t-beau,29.2682591448,2.79046861375,7,6,13
reefybeefy,29.2634648284,1.82573149834,14,13,27
morino,29.2260895886,3.85461294267,3,3,6
dizzle,29.2013104974,1.37555525391,26,27,53
bigfish,29.1396074192,2.72465171083,6,5,11
aerosheep,29.1116346005,3.97470040886,4,3,7
mustard tiger,29.0995072215,3.32198432043,6,4,10
repsguy,29.0773983641,4.87212481094,1,1,2
nesskhalifa,29.0631895571,1.74918674226,16,16,32
toro,29.0095603006,4.38928209674,3,2,5
touque,28.9823537595,4.27259275633,3,2,5
kyle,28.9737097117,2.56526572052,8,6,14
chet dunskies,28.9700412078,3.43378118418,5,3,8
duffman,28.9576994666,4.44491789939,3,2,5
allgreen,28.9262837928,2.4466699084,7,6,13
gt,28.9009669293,0.920469237615,90,79,169
king lumsy,28.8944027651,2.65458897895,7,6,13
fil,28.8784680943,1.31977395414,29,30,59
broly,28.8374272901,4.38916703232,3,2,5
backes,28.7762510033,4.48579929701,2,3,5
elvis,28.7587498633,4.26553689379,3,2,5
pathall,28.7271970168,4.69344711303,2,2,4
a la carte,28.6131211007,3.55538815759,5,4,9
kelvinheit,28.5799572221,1.43540746498,29,19,48
bon,28.5610273459,2.76799682546,7,8,15
breakthrough,28.5495037958,1.94526483056,13,14,27
birdlordmasterbeak,28.5429251864,7.1211258753,1,0,1
fenrir,28.4965137765,4.6606806447,2,2,4
zuko,28.4805152137,1.94133631463,16,14,30
cam,28.4590758304,1.97966442819,10,12,22
yrn,28.4218143738,2.08031089314,10,10,20
epic!,28.4162696831,3.01696808576,6,4,10
darkneon,28.4157960148,4.4070657674,3,2,5
purtle,28.4133628411,1.96266880073,12,12,24
fenlet,28.3266261106,4.74669751974,2,2,4
phut,28.3223415456,3.99197197983,3,3,6
tvdonk,28.3203937299,4.45958674045,3,2,5
ibc,28.3130419186,3.36281447405,4,4,8
smurf,28.3113334752,1.26726476975,41,32,73
coin chaser,28.2990279648,4.40912520839,3,2,5
tonester,28.2573544168,2.049668317,14,10,24
slappypoopy,28.2446073678,1.58437238741,22,18,40
blaise,28.2055181803,4.52219949795,3,2,5
peasantloaf,28.1958652619,4.26248928484,3,2,5
bloogo,28.1925705442,1.14638869727,39,37,76
jsmirk,28.1818042146,1.51209009885,26,22,48
autobaun,28.1529055021,4.53845634446,3,2,5
bacorn,28.1436498056,2.47567422153,9,9,18
nattyb,28.1340321176,4.41412338,3,2,5
cody,28.1035492203,4.80174516421,3,2,5
toronto joe,28.0996945701,4.53051547838,3,2,5
batterybird,28.0646892936,4.53376969681,3,2,5
kraines,28.0154055579,4.8746850721,3,1,4
sebula4,27.9711233548,4.45140829467,3,2,5
mr. slimey,27.8861676951,4.73510882063,2,2,4
box765,27.8777801337,1.38265151763,21,25,46
anotherish,27.8480172074,4.74511802982,3,2,5
enneielle,27.8195884603,3.84402021199,3,3,6
therm,27.7964252727,3.64508987182,4,4,8
taiko,27.7901482209,2.48686928205,8,9,17
kriskringle,27.7882704409,2.88313068568,6,5,11
dragoniota,27.7660977373,4.48734501111,3,2,5
professor_wizard,27.7559701921,1.42823523422,29,22,51
xor,27.7306959177,4.55622523955,3,2,5
automatic,27.7247749096,1.63934125027,16,19,35
dam_tewton,27.707652697,2.09780480312,11,12,23
zyrg,27.6875599983,3.14537362783,5,4,9
maliki,27.6870018731,2.07951345498,13,11,24
xyk,27.6764184763,4.4512066855,4,2,6
bamster,27.668461639,2.96139186275,6,6,12
waxy:joe,27.6618495927,1.34260491685,24,25,49
rishi,27.6480759686,5.64916336094,2,2,4
velocity jones,27.6309923783,1.21580160392,34,34,68
kabal,27.625076721,3.87756274923,4,3,7
marlwolfe,27.552619447,3.82671112369,3,3,6
quickcav,27.55040182,3.25546867637,5,3,8
shake,27.5443348534,2.75054174948,6,7,13
t0mmii,27.5268971516,4.50511998972,3,2,5
hack,27.5218065039,1.65830546659,19,17,36
duff man,27.5116062286,1.92053831654,12,14,26
viberant,27.4894048031,2.45607221512,8,7,15
maniac379,27.421806831,1.31521033389,31,33,64
r6=s2=(sr)2=1>,27.395375224,3.74718090608,3,2,5
darv,27.3866213461,2.29710895067,9,10,19
my buddy mike,27.3630733325,5.18234526133,2,2,4
fake,27.3096951608,3.34941238027,4,4,8
toa,27.3054577905,5.42809906009,2,2,4
beans,27.2937512222,1.7094262793,18,15,33
dpb,27.2936032517,4.60076381324,3,2,5
ern,27.2752491302,4.52152801546,3,2,5
1000,27.2336915033,5.26256748611,2,2,4
maze,27.1756611728,4.92031184378,2,2,4
ringedge,27.1690228687,1.57512844251,20,16,36
p21/c,27.1645039668,1.87813694603,13,15,28
okuser,27.1031706345,2.21229932332,8,10,18
pizza,27.0801844935,1.51997297711,23,25,48
meromorph,27.0514008875,5.01281748756,2,2,4
freddy cougar,27.0208363255,5.4314485912,2,2,4
sunflower,26.9758919682,1.3795042366,25,28,53
jnatty,26.9481395276,3.09711094194,6,6,12
vudujin,26.9460054325,4.79897904172,2,2,4
mr.watchandlearn,26.8453200038,5.13273670901,2,2,4
the yid,26.8245724339,1.14896201788,42,45,87
vanddar,26.812335727,4.90847115312,2,2,4
big dick damage,26.7843113594,3.23147890287,4,4,8
cam2,26.767989254,2.33964641836,7,8,15
kaladin,26.7588062893,4.84757461904,2,2,4
cwic-beam,26.7549085525,1.92991456466,14,14,28
flanders,26.7241566741,2.78540384013,7,5,12
walkrofsky,26.7044085248,1.76019269165,12,17,29
fudgeball,26.6801323654,4.1606982305,2,2,4
no~m,26.6773616482,2.79234503699,7,6,13
rizner,26.669021182,1.9235980898,14,14,28
maps,26.6575007006,1.50271928477,20,21,41
blue lantern,26.6380746027,4.9091984619,2,2,4
shyboy,26.6343030405,4.82060840724,2,2,4
sav,26.6043611999,2.34370366766,8,7,15
el man,26.5763483609,2.59648839011,7,5,12
synth,26.5707186862,4.42243348254,2,2,4
salami,26.5617394448,3.05667432232,6,5,11
hoofy,26.5385910123,1.55124200925,23,22,45
oh thomas,26.4592623818,4.30998449577,3,3,6
dad,26.4564978853,2.89163264799,7,5,12
nalgas,26.4324148357,4.52154689818,3,2,5
whitejesus,26.4318952962,1.23402453406,30,36,66
mando,26.4268680956,2.17358681471,10,13,23
k rool,26.4096173074,1.76060426042,13,16,29
killahertz,26.3643937395,3.04031012948,5,6,11
gooby,26.317433934,2.78089717676,6,7,13
stonehaus,26.3144683052,4.85649340991,3,2,5
thomdore,26.289995851,5.07871297773,2,2,4
white,26.2127601873,4.45860810546,2,3,5
hhhhhhhhhhhhhhh,26.1805605948,4.94442759964,2,2,4
king funk,26.1531703096,4.11561284696,2,3,5
cam1,26.1478490335,2.52356145774,8,7,15
hypa,26.1258403992,4.79492866376,2,2,4
stew,26.1059189503,1.3016177976,32,34,66
droc,26.0772343118,1.36946622414,24,29,53
shishkabobs5,26.0718708003,5.37780397789,2,2,4
flatvi,26.0322107286,4.22537085681,3,3,6
ham,25.9704892652,1.83781070838,13,16,29
toxic,25.961974736,1.89147305652,13,11,24
boomalready1,25.9453830841,3.75152378119,3,4,7
superderekfan,25.9414836123,4.68834676926,2,2,4
bringdaruckus312,25.8961482234,4.91181907561,2,2,4
mortech,25.8668599499,1.68431360567,17,19,36
bigbeaver,25.8296121002,1.30512328414,26,34,60
collin,25.8001956959,2.28152815393,9,9,18
bunz,25.7855310581,2.19737869185,11,15,26
cmull,25.7646158657,3.4504720971,3,4,7
hoofydough,25.7113062928,4.91600928402,2,2,4
traiman,25.670815147,1.95899638384,11,14,25
baby legs,25.6680584228,2.56436753402,7,7,14
lookalike,25.6377991163,3.68278876889,4,4,8
webwipe,25.6036172457,3.38413278101,3,4,7
ace,25.6024426035,1.60131136611,16,21,37
le_vinny,25.5955168448,3.31565360657,4,4,8
z-rex,25.5906930944,2.71191325779,5,8,13
blmb,25.5873397993,4.74757354175,2,2,4
meerkat,25.5830177788,2.38833218394,9,10,19
komodoninja,25.5772038605,2.70194367279,8,5,13
scratch,25.576816208,1.86902176925,13,16,29
j9d2,25.5678331018,4.26488499498,2,2,4
tbq,25.5638398329,3.35544412538,4,4,8
sebula,25.5637552041,1.2647675873,29,35,64
chuck lubs,25.5606773425,5.02116683742,2,2,4
hariballz,25.5320289049,3.41696308649,4,4,8
kirbyrocket,25.5238244992,4.31454511331,3,2,5
prime,25.5135885007,1.67198093546,17,17,34
funkykong,25.5050742126,4.87107097566,2,2,4
justin,25.4595172932,2.69272657888,7,6,13
mixxedvegetables,25.4501743805,4.70204997659,2,2,4
ttt,25.4358600874,3.01167598573,3,6,9
jlo,25.4120316069,4.81805105085,2,2,4
snowstorm,25.3934923152,4.93156978565,2,2,4
t brett,25.3671626614,3.85884397536,3,4,7
starchild,25.3611312572,2.95232769534,6,6,12
nasian,25.3404237394,5.74907458247,1,1,2
griffith,25.3329181762,1.38342709082,22,28,50
therapture_,25.3258278266,5.13054155253,2,2,4
salt,25.2941591503,4.96321040971,2,2,4
purple fox,25.2890644797,4.58709452422,2,2,4
sunvulcan,25.2834508102,1.5442700091,21,19,40
wazzberry,25.2821512309,4.73421942984,2,2,4
cortese187,25.2734327832,4.80713072026,2,2,4
swiftbass,25.2622368269,4.89216411198,2,2,4
h2o,25.2593669871,4.85995252983,2,2,4
zhu,25.2570917719,5.15198224649,1,2,3
klms,25.2540556461,4.9265753216,2,2,4
log,25.2440158213,2.9511744054,4,6,10
zbl_mystic,25.2424725068,5.22739906805,1,2,3
blisstex,25.2319024376,2.95989520789,6,7,13
pandemonium,25.220578387,4.55214797812,2,2,4
giraphe,25.1767537615,4.8547062007,2,2,4
wowzers,25.1586957156,4.68073409761,2,2,4
slappymcnutz,25.1407146885,1.8491429341,11,18,29
doughnut,25.1359428401,4.90347605729,2,2,4
qubit,25.1257493202,4.91426923128,2,2,4
karlthemarx,25.1124033326,4.8206721687,2,2,4
leavescat,25.0993709433,3.5385561854,4,4,8
poptartplug,25.0826285291,5.11818158289,2,2,4
iheartqueso,25.080069247,2.64976379324,8,9,17
damp,25.0462356422,4.82420329543,2,2,4
notlightningrunner,25.0432425227,4.65308130371,2,2,4
tom bombadil,25.031822087,3.2760726644,4,5,9
beguiler,25.0181002617,5.04179208223,2,2,4
measthebeast,25.0150528665,2.09151899488,9,10,19
bird-dawg,25.0,8.33333333333,0,0,0
hans_mawell,25.0,8.33333333333,0,0,0
redeagle2000,25.0,8.33333333333,0,0,0
chai,25.0,8.33333333333,0,0,0
adubz,25.0,8.33333333333,0,0,0
sd master,25.0,8.33333333333,0,0,0
urpasmash,25.0,8.33333333333,0,0,0
spicky,25.0,8.33333333333,0,0,0
sussebass,25.0,8.33333333333,0,0,0
falln,25.0,8.33333333333,0,0,0
duckpimp,25.0,8.33333333333,0,0,0
name,25.0,8.33333333333,0,0,0
lukem,25.0,8.33333333333,0,0,0
marfslayer 3000,25.0,8.33333333333,0,0,0
spade,25.0,8.33333333333,0,0,0
goomah,25.0,8.33333333333,0,0,0
mimi,25.0,8.33333333333,0,0,0
dunos_,25.0,8.33333333333,0,0,0
coldo,25.0,8.33333333333,0,0,0
reb,25.0,8.33333333333,0,0,0
rudedude,25.0,8.33333333333,0,0,0
werewyatt,25.0,8.33333333333,0,0,0
masterofzoroark,25.0,8.33333333333,0,0,0
madguy,25.0,8.33333333333,0,0,0
oljace,25.0,8.33333333333,0,0,0
flat nat,25.0,8.33333333333,0,0,0
mickeyrat,25.0,8.33333333333,0,0,0
flash,25.0,8.33333333333,0,0,0
sheen,25.0,8.33333333333,0,0,0
ozymandias,25.0,8.33333333333,0,0,0
jarl,25.0,8.33333333333,0,0,0
bund,25.0,8.33333333333,0,0,0
thac0,25.0,8.33333333333,0,0,0
hail_sagan,25.0,8.33333333333,0,0,0
fireberts,25.0,8.33333333333,0,0,0
voidstar,25.0,8.33333333333,0,0,0
4sk,25.0,8.33333333333,0,0,0
[stg] overload,25.0,8.33333333333,0,0,0
da_bear,25.0,8.33333333333,0,0,0
bus,25.0,8.33333333333,0,0,0
pilot,25.0,8.33333333333,0,0,0
puddn,25.0,8.33333333333,0,0,0
mahie,25.0,8.33333333333,0,0,0
sharktoast,25.0,8.33333333333,0,0,0
the cfb,25.0,8.33333333333,0,0,0
brentosfreshness,25.0,8.33333333333,0,0,0
fractal,25.0,8.33333333333,0,0,0
juno,25.0,8.33333333333,0,0,0
birdybirds,25.0,8.33333333333,0,0,0
pat,25.0,8.33333333333,0,0,0
sambo,25.0,8.33333333333,0,0,0
magitech,25.0,8.33333333333,0,0,0
djltheescapade,25.0,8.33333333333,0,0,0
acestarthe3rd,25.0,8.33333333333,0,0,0
benb,25.0,8.33333333333,0,0,0
tdx,25.0,8.33333333333,0,0,0
sleeh,25.0,8.33333333333,0,0,0
sabo,25.0,8.33333333333,0,0,0
emon,25.0,8.33333333333,0,0,0
monk,25.0,8.33333333333,0,0,0
link,25.0,8.33333333333,0,0,0
nokto,25.0,8.33333333333,0,0,0
paul d,25.0,8.33333333333,0,0,0
branchan,25.0,8.33333333333,0,0,0
jeremy,25.0,8.33333333333,0,0,0
aperture,25.0,8.33333333333,0,0,0
deep dimples,25.0,8.33333333333,0,0,0
price,25.0,8.33333333333,0,0,0
vio,25.0,8.33333333333,0,0,0
mouse,25.0,8.33333333333,0,0,0
rice,25.0,8.33333333333,0,0,0
magnus combosen,25.0,8.33333333333,0,0,0
moft,25.0,8.33333333333,0,0,0
neverpullout,25.0,8.33333333333,0,0,0
locamash,25.0,8.33333333333,0,0,0
tweli,25.0,8.33333333333,0,0,0
royeric,25.0,8.33333333333,0,0,0
spaff,25.0,8.33333333333,0,0,0
big d [hamiel],25.0,8.33333333333,0,0,0
chewy,25.0,8.33333333333,0,0,0
awesomethesauce,25.0,8.33333333333,0,0,0
ubll black mage,25.0,8.33333333333,0,0,0
stephanie,25.0,8.33333333333,0,0,0
king lui,25.0,8.33333333333,0,0,0
ferrero64,25.0,8.33333333333,0,0,0
mistertizye,25.0,8.33333333333,0,0,0
snazzy,25.0,8.33333333333,0,0,0
imperium,25.0,8.33333333333,0,0,0
patty-wagon,25.0,8.33333333333,0,0,0
redribb0n,25.0,8.33333333333,0,0,0
malkasaur,25.0,8.33333333333,0,0,0
dobermen?,25.0,8.33333333333,0,0,0
astumpyzombie,25.0,8.33333333333,0,0,0
dezno,25.0,8.33333333333,0,0,0
cr0ak,25.0,8.33333333333,0,0,0
sylveonbae,25.0,8.33333333333,0,0,0
god,25.0,8.33333333333,0,0,0
rf!,25.0,8.33333333333,0,0,0
hyperbole,25.0,8.33333333333,0,0,0
squallette,25.0,8.33333333333,0,0,0
phex,25.0,8.33333333333,0,0,0
johnnyfight,25.0,8.33333333333,0,0,0
foxnard,25.0,8.33333333333,0,0,0
zane,25.0,8.33333333333,0,0,0
miken,25.0,8.33333333333,0,0,0
electricgazelle,25.0,8.33333333333,0,0,0
bronze_sun,25.0,8.33333333333,0,0,0
dude,25.0,8.33333333333,0,0,0
4eyez95,25.0,8.33333333333,0,0,0
